fragment_smiles,occurences,example_ligands
c1ncn2c1CNCC2,816,20:02000:0:Z2836077947;20:02000:0:Z3523003084;20:02000:2:Z3528329593;
CC1CCCO1,21327,20:02000:0:Z3832763506;20:02000:0:Z3342541002;20:02000:0:Z2443095108;
Cc1cnco1,9745,20:02000:0:Z3092606086;20:02000:0:Z1625596975;20:02000:0:Z3829612291;
Cc1ccn(C)c(=O)c1,590,20:02000:0:Z1411366419;20:02000:1:Z3843367404;20:02000:1:Z3082066929;
FC1CCNC1,15090,20:02000:0:Z3046087060;20:02000:0:Z4400506743;20:02000:0:Z2394933118;
O=c1cccn[nH]1,3422,20:02000:0:Z1533142140;20:02000:0:Z2643253384;20:02000:0:Z4176147941;
CC12CCCC(CO1)C2,696,20:02000:0:Z3819799480;20:02000:0:Z4694286238;20:02000:1:Z3830908322;
CC1CNCCO1,15609,20:02000:0:Z2162205689;20:02000:0:Z3550872236;20:02000:0:Z1372567809;
Cc1ccc(F)cc1,5462,20:02000:0:Z4055073955;20:02000:0:Z2304396033;20:02000:0:Z3366474125;
O=c1cccc[nH]1,13659,20:02000:0:Z1419549886;20:02000:0:Z3542773005;20:02000:0:Z2613667118;
Nc1ncnc(N)n1,474,20:02000:0:Z4081361176;20:02000:0:Z2699190321;20:02000:1:Z2699149194;
